"query";"cluster";"target";"intent";"priority";"frequency";"status";"topicSource"
"ремонт квартир нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартир под ключ нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"комплексный ремонт квартиры нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартир цена нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"стоимость ремонта квартиры за м2 нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартиры под ключ с материалами нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт однокомнатной квартиры нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт двухкомнатной квартиры нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартиры студии нижний новгород";"Ремонт квартир под ключ";"/";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартиры в новостройке нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"ремонт новостройки под ключ нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"отделка квартиры в новостройке нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"ремонт квартиры без отделки нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"ремонт квартиры с предчистовой отделкой нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"ремонт white box нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"стоимость ремонта новостройки нижний новгород";"Ремонт в новостройке";"/remont-v-novostroyke";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remont-kvartir-nn.ru/remont-kvartiry-v-novostrojke"
"ремонт вторичного жилья нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартиры вторичка нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт старой квартиры нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт вторички под ключ нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"стоимость ремонта вторичной квартиры нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"ремонт квартиры с демонтажом нижний новгород";"Ремонт вторичного жилья";"/remont-vtorichnogo-zhilya";"commercial";"P1";"";"Кандидат; ручная группировка";"https://remontstroynn.ru/remont-i-otdelka-kvartiry-pod-klyuch/"
"косметический ремонт квартиры нижний новгород";"Косметический ремонт";"/kosmeticheskiy-remont";"commercial";"P1";"";"Кандидат; ручная группировка";"https://brilliant-monolit.ru/kosmeticheskiy-remont"
